Municipality,MinTimeToNearestStation,FloorPlan,Area,BuildingYear,Structure,Year,Renovation,TradePrice
Koto Ward,6.0,3LDK,60,1982.0,SRC,2015,Done,28000000
Koto Ward,2.0,2LDK,55,1979.0,SRC,2015,Done,31000000
Koto Ward,6.0,2LDK,55,1973.0,SRC,2015,Done,20000000
Koto Ward,7.0,2LDK,45,1975.0,SRC,2014,Done,26000000
Koto Ward,6.0,2LDK,60,1973.0,SRC,2014,Done,26000000
Koto Ward,3.0,2LDK+S,55,1977.0,SRC,2014,Done,29000000
Koto Ward,6.0,2LDK,55,1973.0,SRC,2014,Done,24000000
Koto Ward,6.0,2DK,55,1973.0,SRC,2014,Not yet,12000000
Koto Ward,6.0,3LDK,55,1973.0,SRC,2014,Done,24000000
Koto Ward,2.0,3LDK,70,2002.0,RC,2014,Not yet,51000000
Koto Ward,8.0,1K,20,2006.0,RC,2014,Not yet,13000000
Koto Ward,5.0,1DK,30,1974.0,SRC,2014,Not yet,11000000
Koto Ward,2.0,3LDK,60,1986.0,RC,2014,Not yet,34000000
Koto Ward,2.0,2LDK,45,1973.0,RC,2014,Done,20000000
Koto Ward,1.0,2LDK,70,1998.0,SRC,2014,Not yet,39000000
Koto Ward,3.0,3DK,55,1974.0,SRC,2014,Not yet,20000000
Koto Ward,4.0,2DK,45,1972.0,RC,2014,Not yet,9500000
Koto Ward,5.0,2LDK,55,1973.0,SRC,2014,Done,24000000
Koto Ward,0.0,3LDK,60,1986.0,SRC,2014,Not yet,23000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Not yet,25000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Not yet,25000000
Koto Ward,7.0,2LDK,45,1974.0,SRC,2014,Done,20000000
Koto Ward,2.0,2LDK,60,1986.0,RC,2014,Not yet,28000000
Koto Ward,3.0,2LDK,55,1978.0,SRC,2014,Done,27000000
Koto Ward,5.0,3LDK,70,1982.0,SRC,2014,Done,35000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Not yet,25000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Not yet,25000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Done,25000000
Koto Ward,6.0,1K,25,2013.0,RC,2014,Not yet,25000000
Koto Ward,4.0,3LDK,65,1979.0,SRC,2014,Not yet,27000000
Koto Ward,5.0,2LDK,70,1982.0,SRC,2014,Done,29000000
Koto Ward,7.0,1LDK,40,1974.0,SRC,2014,Done,18000000
Koto Ward,2.0,3DK,50,1995.0,SRC,2018,Not yet,37000000
Koto Ward,2.0,3DK,50,1995.0,SRC,2018,Not yet,37000000
Koto Ward,2.0,2LDK,50,1995.0,SRC,2017,Done,41000000
Koto Ward,8.0,1K,20,2002.0,SRC,2019,Not yet,21000000
Koto Ward,8.0,1K,20,2011.0,RC,2018,Not yet,21000000
Koto Ward,8.0,1K,20,2011.0,RC,2018,Not yet,22000000
Koto Ward,7.0,1LDK,55,1998.0,RC,2018,Not yet,38000000
Koto Ward,8.0,1K,20,2011.0,RC,2018,Not yet,21000000
Koto Ward,8.0,1K,20,2011.0,SRC,2018,Not yet,22000000
Koto Ward,8.0,1K,20,2002.0,SRC,2016,Not yet,18000000
Koto Ward,8.0,1K,20,2002.0,SRC,2016,Not yet,18000000
Koto Ward,5.0,2LDK,45,1989.0,RC,2014,Done,27000000
Koto Ward,3.0,2LDK,60,1984.0,SRC,2019,Done,45000000
Koto Ward,1.0,2DK,45,1977.0,SRC,2019,Not yet,27000000
Koto Ward,2.0,1LDK,50,2003.0,RC,2018,Not yet,42000000
Koto Ward,4.0,1LDK,35,2012.0,RC,2018,Not yet,35000000
Koto Ward,3.0,3LDK,60,1984.0,SRC,2017,Not yet,34000000
Koto Ward,1.0,3LDK,55,1977.0,SRC,2017,Done,40000000
Koto Ward,1.0,3LDK,95,1977.0,SRC,2017,Not yet,34000000
Koto Ward,8.0,1K,25,1992.0,SRC,2017,Not yet,22000000
Koto Ward,4.0,2LDK,50,2012.0,RC,2017,Done,52000000
Koto Ward,1.0,3LDK,55,1977.0,SRC,2016,Not yet,39000000
Koto Ward,4.0,2LDK,50,2012.0,RC,2016,Not yet,49000000
Koto Ward,4.0,1DK,35,2012.0,RC,2016,Not yet,33000000
Koto Ward,4.0,2DK,40,2003.0,SRC,2016,Not yet,31000000
Koto Ward,4.0,1K,25,2003.0,SRC,2015,Not yet,20000000
Koto Ward,1.0,2DK,60,1977.0,SRC,2014,Not yet,22000000
Koto Ward,5.0,3LDK,75,2016.0,RC,2018,Not yet,73000000
Koto Ward,5.0,2LDK,65,2016.0,RC,2018,Done,57000000
Koto Ward,5.0,2LDK,75,2016.0,RC,2018,Not yet,76000000
Koto Ward,5.0,2LDK,95,2016.0,RC,2018,Done,130000000
Koto Ward,5.0,2LDK,75,2016.0,RC,2017,Not yet,73000000
Koto Ward,5.0,2LDK,55,2016.0,RC,2017,Not yet,54000000
Koto Ward,5.0,3LDK,65,2016.0,RC,2017,Not yet,57000000
Koto Ward,5.0,2LDK,55,2016.0,RC,2017,Not yet,57000000
Koto Ward,5.0,2LDK,80,2016.0,RC,2017,Not yet,84000000
Koto Ward,5.0,3LDK,80,2016.0,RC,2017,Not yet,69000000
Koto Ward,5.0,3LDK,75,2016.0,RC,2017,Not yet,70000000
Koto Ward,5.0,2LDK,55,2016.0,RC,2017,Not yet,48000000
Koto Ward,5.0,2LDK,55,2016.0,RC,2016,Not yet,57000000
Koto Ward,5.0,3LDK,85,2016.0,RC,2016,Not yet,73000000
Koto Ward,5.0,2LDK,80,2016.0,RC,2016,Not yet,83000000
Koto Ward,6.0,3LDK,90,2016.0,RC,2016,Not yet,94000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2019,Not yet,56000000
Koto Ward,4.0,4LDK,90,2001.0,SRC,2019,Not yet,68000000
Koto Ward,7.0,1LDK,40,1984.0,RC,2019,Done,32000000
Koto Ward,5.0,3LDK,80,2005.0,SRC,2019,Not yet,72000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2019,Not yet,55000000
Koto Ward,9.0,1LDK,55,2000.0,SRC,2019,Not yet,44000000
Koto Ward,4.0,2LDK,75,2001.0,SRC,2019,Done,53000000
Koto Ward,5.0,2LDK,80,2005.0,SRC,2019,Not yet,65000000
Koto Ward,5.0,3LDK,70,2009.0,RC,2019,Not yet,68000000
Koto Ward,12.0,1LDK,70,2014.0,RC,2019,Not yet,71000000
Koto Ward,10.0,2LDK,70,2000.0,RC,2019,Done,54000000
Koto Ward,9.0,3LDK,85,2001.0,SRC,2019,Not yet,61000000
Koto Ward,7.0,3LDK,80,2008.0,RC,2019,Not yet,92000000
Koto Ward,4.0,2LDK,70,2007.0,SRC,2019,Not yet,55000000
Koto Ward,12.0,3LDK,80,2014.0,RC,2019,Not yet,88000000
Koto Ward,4.0,4LDK,80,2007.0,SRC,2019,Not yet,57000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2019,Not yet,52000000
Koto Ward,4.0,3LDK,65,2002.0,SRC,2019,Not yet,46000000
Koto Ward,6.0,3LDK,75,2005.0,SRC,2019,Not yet,63000000
Koto Ward,6.0,2LDK,65,2005.0,SRC,2019,Not yet,53000000
Koto Ward,5.0,4LDK,105,2005.0,SRC,2019,Not yet,90000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2019,Not yet,73000000
Koto Ward,5.0,2LDK,70,2016.0,RC,2019,Not yet,75000000
Koto Ward,7.0,2LDK,65,2008.0,RC,2019,Not yet,65000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2019,Not yet,70000000
Koto Ward,5.0,3LDK,70,2013.0,RC,2019,Not yet,65000000
Koto Ward,7.0,2LDK,65,2009.0,RC,2019,Not yet,54000000
Koto Ward,7.0,2LDK,70,2007.0,RC,2019,Not yet,69000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2019,Not yet,74000000
Koto Ward,8.0,2LDK,55,2009.0,RC,2019,Not yet,54000000
Koto Ward,11.0,1LDK,45,1997.0,RC,2019,Not yet,28000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2019,Done,80000000
Koto Ward,9.0,3LDK,55,1980.0,SRC,2019,Not yet,24000000
Koto Ward,5.0,3LDK,85,2005.0,SRC,2019,Not yet,85000000
Koto Ward,8.0,2LDK,90,2009.0,RC,2019,Not yet,95000000
Koto Ward,9.0,2LDK,55,1980.0,SRC,2019,Not yet,33000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2019,Not yet,59000000
Koto Ward,7.0,2LDK,80,2008.0,RC,2019,Not yet,85000000
Koto Ward,5.0,3LDK,70,2009.0,RC,2019,Not yet,65000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2019,Not yet,55000000
Koto Ward,5.0,3LDK,75,2005.0,SRC,2019,Not yet,63000000
Koto Ward,10.0,2LDK,75,2000.0,RC,2019,Not yet,54000000
Koto Ward,12.0,2LDK,80,2014.0,RC,2019,Not yet,85000000
Koto Ward,10.0,1LDK,55,2000.0,RC,2019,Not yet,40000000
Koto Ward,5.0,3LDK,80,2005.0,SRC,2019,Not yet,68000000
Koto Ward,7.0,1LDK,60,2008.0,RC,2018,Not yet,56000000
Koto Ward,4.0,3LDK,75,2001.0,SRC,2018,Not yet,55000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2018,Not yet,59000000
Koto Ward,9.0,2LDK,65,1981.0,SRC,2018,Not yet,37000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2018,Done,74000000
Koto Ward,7.0,2LDK,65,2008.0,RC,2018,Not yet,67000000
Koto Ward,5.0,3LDK,85,2005.0,SRC,2018,Not yet,70000000
Koto Ward,7.0,3LDK,95,2008.0,RC,2018,Not yet,94000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2018,Not yet,65000000
Koto Ward,11.0,2LDK,85,2000.0,RC,2018,Done,63000000
Koto Ward,8.0,3LDK,70,2014.0,RC,2018,Not yet,50000000
Koto Ward,5.0,3LDK,65,2016.0,RC,2018,Not yet,68000000
Koto Ward,4.0,1DK,55,2007.0,SRC,2018,Done,43000000
Koto Ward,11.0,3LDK,75,1997.0,RC,2018,Not yet,48000000
Koto Ward,7.0,3LDK,95,2007.0,RC,2018,Not yet,100000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2018,Done,58000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2018,Not yet,68000000
Koto Ward,7.0,2LDK,70,2007.0,RC,2018,Not yet,68000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2018,Not yet,57000000
Koto Ward,12.0,2LDK,65,2014.0,RC,2018,Not yet,64000000
Koto Ward,5.0,3LDK,70,2005.0,SRC,2018,Not yet,58000000
Koto Ward,2.0,3LDK,65,1984.0,SRC,2018,Done,42000000
Koto Ward,6.0,3LDK,75,2005.0,SRC,2018,Not yet,59000000
Koto Ward,5.0,2LDK,55,2013.0,RC,2018,Not yet,49000000
Koto Ward,7.0,2LDK,80,2008.0,RC,2018,Not yet,75000000
Koto Ward,9.0,3LDK,75,2000.0,SRC,2018,Not yet,58000000
Koto Ward,8.0,3LDK,70,2014.0,RC,2018,Not yet,60000000
Koto Ward,7.0,3LDK,85,2008.0,RC,2018,Not yet,100000000
Koto Ward,7.0,1LDK,60,2008.0,RC,2018,Not yet,58000000
Koto Ward,6.0,3LDK,80,2005.0,SRC,2018,Not yet,66000000
Koto Ward,5.0,3LDK,65,2016.0,RC,2018,Not yet,73000000
Koto Ward,8.0,2DK,70,2009.0,RC,2018,Not yet,67000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2018,Not yet,60000000
Koto Ward,10.0,2LDK,75,2000.0,RC,2018,Not yet,48000000
Koto Ward,5.0,2LDK,55,2009.0,RC,2018,Not yet,55000000
Koto Ward,8.0,3LDK,70,2009.0,RC,2018,Not yet,64000000
Koto Ward,8.0,2LDK,60,2009.0,RC,2018,Not yet,55000000
Koto Ward,8.0,3LDK,85,2009.0,RC,2018,Not yet,92000000
Koto Ward,12.0,3LDK,80,2014.0,RC,2018,Not yet,96000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2018,Not yet,62000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2018,Not yet,63000000
Koto Ward,7.0,3LDK,80,2008.0,RC,2018,Not yet,90000000
Koto Ward,5.0,3LDK,85,2009.0,RC,2018,Not yet,85000000
Koto Ward,4.0,3LDK,65,1984.0,SRC,2018,Done,44000000
Koto Ward,12.0,2LDK,65,2014.0,RC,2018,Not yet,66000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2018,Done,57000000
Koto Ward,5.0,2LDK,65,2009.0,RC,2018,Not yet,65000000
Koto Ward,6.0,4LDK,85,2005.0,SRC,2018,Done,69000000
Chuo Ward,4.0,2LDK,70,2002.0,RC,2013,Not yet,59000000
Koto Ward,8.0,2LDK,100,2009.0,RC,2018,Not yet,160000000
Koto Ward,5.0,3LDK,70,2005.0,SRC,2018,Not yet,55000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2018,Not yet,73000000
Koto Ward,11.0,2LDK,55,1997.0,RC,2018,Done,45000000
Koto Ward,4.0,2LDK,80,2005.0,SRC,2018,Done,60000000
Koto Ward,4.0,3LDK,65,2002.0,SRC,2018,Not yet,42000000
Koto Ward,4.0,1LDK,55,2007.0,SRC,2018,Not yet,40000000
Koto Ward,5.0,2LDK,80,2005.0,SRC,2018,Done,70000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2018,Not yet,66000000
Koto Ward,5.0,3LDK,75,2009.0,RC,2018,Done,68000000
Koto Ward,5.0,1LDK,40,2009.0,RC,2018,Not yet,43000000
Koto Ward,7.0,2LDK,80,2008.0,RC,2018,Done,69000000
Koto Ward,6.0,2LDK,65,2005.0,SRC,2018,Not yet,45000000
Koto Ward,5.0,2LDK,80,2005.0,SRC,2018,Done,65000000
Koto Ward,11.0,2LDK,75,1997.0,RC,2018,Not yet,45000000
Koto Ward,5.0,3LDK,95,2005.0,SRC,2018,Not yet,76000000
Koto Ward,4.0,3LDK,75,2007.0,SRC,2018,Done,61000000
Koto Ward,12.0,3LDK,80,2014.0,RC,2018,Not yet,67000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2018,Not yet,69000000
Koto Ward,8.0,3LDK,70,2014.0,RC,2018,Not yet,49000000
Koto Ward,7.0,3LDK,80,2008.0,RC,2018,Not yet,88000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2018,Not yet,54000000
Koto Ward,11.0,2LDK,75,2000.0,RC,2018,Not yet,40000000
Koto Ward,7.0,3LDK,80,2008.0,RC,2018,Not yet,80000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2018,Done,70000000
Koto Ward,9.0,3LDK,65,1981.0,SRC,2018,Done,39000000
Koto Ward,5.0,1LDK,50,2009.0,RC,2018,Not yet,45000000
Koto Ward,4.0,3LDK,80,2005.0,RC,2018,Not yet,63000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2018,Not yet,64000000
Koto Ward,12.0,3LDK,80,2014.0,RC,2018,Not yet,75000000
Koto Ward,5.0,3LDK,70,2009.0,RC,2018,Not yet,60000000
Koto Ward,8.0,2LDK,70,2009.0,RC,2018,Not yet,69000000
Koto Ward,4.0,2LDK,60,2014.0,RC,2018,Not yet,60000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2018,Not yet,68000000
Koto Ward,8.0,2LDK,70,2009.0,RC,2018,Not yet,64000000
Koto Ward,11.0,2LDK,70,2000.0,RC,2018,Not yet,46000000
Koto Ward,6.0,3LDK,85,2005.0,SRC,2018,Not yet,64000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2018,Not yet,64000000
Koto Ward,5.0,2LDK,65,2009.0,RC,2018,Not yet,57000000
Koto Ward,4.0,3LDK,65,2001.0,SRC,2018,Not yet,58000000
Koto Ward,11.0,3LDK,90,2000.0,RC,2018,Not yet,55000000
Koto Ward,12.0,2LDK,50,2014.0,RC,2018,Not yet,55000000
Koto Ward,5.0,1LDK,55,2009.0,RC,2018,Not yet,51000000
Koto Ward,7.0,2LDK,75,2008.0,RC,2018,Not yet,69000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2018,Not yet,58000000
Koto Ward,4.0,3LDK,65,2007.0,SRC,2018,Not yet,53000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2018,Done,56000000
Koto Ward,4.0,3LDK,70,2005.0,SRC,2018,Not yet,53000000
Koto Ward,7.0,2LDK,65,2009.0,RC,2018,Not yet,62000000
Koto Ward,12.0,2LDK,65,2014.0,RC,2017,Not yet,58000000
Koto Ward,7.0,3LDK,85,2008.0,RC,2017,Not yet,82000000
Koto Ward,5.0,2LDK,70,2005.0,SRC,2017,Not yet,60000000
Koto Ward,5.0,3LDK,70,2005.0,SRC,2017,Not yet,59000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2017,Not yet,53000000
Koto Ward,5.0,2LDK,80,2009.0,RC,2017,Not yet,78000000
Koto Ward,7.0,3LDK,80,2007.0,RC,2017,Not yet,92000000
Koto Ward,11.0,2LDK,95,2000.0,RC,2017,Not yet,65000000
Koto Ward,5.0,2LDK,70,2016.0,RC,2017,Not yet,75000000
Koto Ward,7.0,2LDK,75,2008.0,RC,2017,Not yet,69000000
Koto Ward,5.0,3LDK,70,2013.0,RC,2017,Not yet,63000000
Koto Ward,8.0,3LDK,85,2009.0,RC,2017,Not yet,80000000
Koto Ward,8.0,3LDK,70,2009.0,RC,2017,Not yet,63000000
Koto Ward,4.0,3LDK,65,2007.0,SRC,2017,Not yet,50000000
Koto Ward,7.0,1LDK,45,2008.0,RC,2017,Not yet,42000000
Koto Ward,9.0,3LDK,70,2001.0,SRC,2017,Done,47000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2017,Not yet,58000000
Koto Ward,5.0,3LDK,70,2009.0,RC,2017,Not yet,60000000
Koto Ward,4.0,3LDK,70,1981.0,SRC,2017,Not yet,41000000
Koto Ward,12.0,3LDK,70,2014.0,RC,2017,Not yet,69000000
Koto Ward,11.0,1LDK,55,2000.0,RC,2017,Not yet,39000000
Koto Ward,12.0,3LDK,70,2014.0,RC,2017,Done,62000000
Koto Ward,6.0,3LDK,80,2005.0,SRC,2017,Not yet,65000000
Koto Ward,7.0,2LDK,55,2008.0,RC,2017,Not yet,51000000
Koto Ward,5.0,1LDK,45,2009.0,RC,2017,Not yet,45000000
Koto Ward,9.0,2LDK,70,1980.0,SRC,2017,Done,39000000
Koto Ward,8.0,3LDK,70,2014.0,RC,2017,Not yet,51000000
Koto Ward,4.0,3LDK,65,2001.0,SRC,2017,Not yet,49000000
Koto Ward,7.0,3LDK,75,2008.0,RC,2017,Not yet,65000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2017,Not yet,68000000
Koto Ward,8.0,2DK,70,2009.0,RC,2017,Not yet,60000000
Koto Ward,6.0,3LDK,70,2013.0,RC,2017,Not yet,63000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2017,Not yet,52000000
Koto Ward,9.0,3LDK,70,2001.0,SRC,2017,Not yet,40000000
Koto Ward,5.0,2LDK,85,2009.0,RC,2017,Not yet,79000000
Koto Ward,5.0,2LDK,60,2009.0,RC,2017,Not yet,55000000
Koto Ward,5.0,3LDK,80,2009.0,RC,2017,Done,71000000
Koto Ward,5.0,2LDK,80,2009.0,RC,2017,Not yet,84000000
Koto Ward,7.0,1LDK,90,2008.0,RC,2017,Not yet,95000000
Koto Ward,7.0,4LDK,110,2008.0,RC,2017,Not yet,120000000
Koto Ward,4.0,3LDK,65,2001.0,SRC,2017,Not yet,46000000
Koto Ward,7.0,2LDK,65,2008.0,RC,2017,Not yet,61000000
Koto Ward,8.0,3LDK,65,2014.0,RC,2017,Not yet,49000000
Koto Ward,7.0,1DK,80,2008.0,RC,2017,Not yet,67000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2017,Done,48000000
Koto Ward,4.0,3LDK,65,2007.0,SRC,2017,Not yet,44000000
Koto Ward,5.0,2LDK,60,2005.0,RC,2017,Done,53000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2017,Not yet,51000000
Koto Ward,7.0,3LDK,85,2008.0,RC,2017,Not yet,69000000
Koto Ward,7.0,3LDK,75,2008.0,RC,2017,Not yet,56000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2017,Not yet,72000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2017,Not yet,56000000
Koto Ward,8.0,3LDK,80,2009.0,RC,2017,Not yet,77000000
Koto Ward,9.0,3LDK,75,2001.0,SRC,2017,Not yet,46000000
Koto Ward,8.0,3LDK,70,2009.0,RC,2017,Done,75000000
Koto Ward,4.0,3LDK,75,2001.0,SRC,2017,Not yet,48000000
Koto Ward,9.0,4LDK,85,2000.0,SRC,2017,Not yet,51000000
Koto Ward,5.0,3LDK,65,2016.0,RC,2017,Not yet,67000000
Koto Ward,7.0,3LDK,85,2008.0,RC,2017,Not yet,100000000
Koto Ward,5.0,2LDK,85,2005.0,SRC,2017,Not yet,74000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2017,Not yet,64000000
Koto Ward,5.0,4LDK,95,2005.0,SRC,2017,Not yet,73000000
Koto Ward,5.0,4LDK,80,2005.0,SRC,2017,Not yet,62000000
Koto Ward,7.0,2LDK,65,2008.0,RC,2017,Not yet,61000000
Koto Ward,12.0,2LDK,60,2014.0,RC,2017,Not yet,56000000
Koto Ward,5.0,2LDK,55,2013.0,RC,2017,Not yet,51000000
Koto Ward,5.0,3LDK,80,2005.0,SRC,2017,Not yet,66000000
Koto Ward,4.0,3LDK,70,1981.0,SRC,2017,Not yet,45000000
Koto Ward,9.0,3LDK,70,2000.0,SRC,2017,Not yet,48000000
Koto Ward,5.0,2LDK,60,2009.0,RC,2017,Not yet,53000000
Koto Ward,11.0,2LDK,70,2000.0,RC,2017,Not yet,39000000
Koto Ward,5.0,3LDK,75,2009.0,RC,2017,Not yet,71000000
Koto Ward,12.0,3LDK,70,2014.0,RC,2017,Not yet,61000000
Koto Ward,6.0,2LDK,65,2005.0,SRC,2017,Done,46000000
Koto Ward,8.0,2LDK,75,2009.0,RC,2017,Not yet,64000000
Koto Ward,7.0,3LDK,80,2007.0,RC,2017,Not yet,85000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2017,Not yet,68000000
Koto Ward,6.0,4LDK,85,2005.0,SRC,2017,Not yet,55000000
Koto Ward,12.0,2LDK,55,2014.0,RC,2017,Not yet,49000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2017,Not yet,50000000
Koto Ward,5.0,2LDK,85,2009.0,RC,2017,Done,80000000
Koto Ward,4.0,3LDK,70,1981.0,SRC,2017,Not yet,39000000
Koto Ward,5.0,2LDK,55,2013.0,RC,2017,Not yet,51000000
Koto Ward,5.0,2LDK,70,2009.0,RC,2017,Not yet,70000000
Koto Ward,5.0,2LDK,70,2005.0,SRC,2017,Not yet,56000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2017,Not yet,58000000
Koto Ward,8.0,3LDK,70,2009.0,RC,2017,Not yet,60000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2017,Not yet,70000000
Koto Ward,12.0,2LDK,70,2014.0,RC,2017,Not yet,72000000
Koto Ward,5.0,2LDK,60,2013.0,RC,2017,Not yet,57000000
Koto Ward,7.0,2LDK,80,2008.0,RC,2017,Not yet,79000000
Koto Ward,8.0,2LDK,70,2009.0,RC,2017,Not yet,70000000
Koto Ward,11.0,2LDK,95,2000.0,RC,2017,Not yet,62000000
Koto Ward,7.0,2LDK,85,2008.0,RC,2017,Not yet,81000000
Koto Ward,4.0,3LDK,75,2001.0,SRC,2017,Not yet,47000000
Koto Ward,9.0,2LDK,55,2000.0,SRC,2017,Not yet,40000000
Koto Ward,6.0,4LDK,85,2005.0,SRC,2017,Not yet,58000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2017,Not yet,53000000
Koto Ward,6.0,3LDK,70,2005.0,SRC,2017,Not yet,54000000
Koto Ward,5.0,2DK,55,2013.0,RC,2017,Not yet,47000000
Koto Ward,5.0,1LDK,40,2009.0,RC,2016,Not yet,39000000
Koto Ward,5.0,2LDK,55,2013.0,RC,2016,Not yet,49000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2016,Not yet,50000000
Koto Ward,5.0,3LDK,70,2013.0,RC,2016,Not yet,62000000
Koto Ward,5.0,3LDK,70,2005.0,SRC,2016,Done,48000000
Koto Ward,5.0,1LDK,50,2009.0,RC,2016,Not yet,46000000
Koto Ward,12.0,3LDK,80,2014.0,RC,2016,Not yet,61000000
Koto Ward,7.0,2LDK,55,2008.0,RC,2016,Not yet,53000000
Koto Ward,5.0,2LDK,50,2009.0,RC,2016,Not yet,53000000
Koto Ward,5.0,2LDK,60,2005.0,SRC,2016,Not yet,50000000
Koto Ward,11.0,2LDK,75,2000.0,RC,2016,Not yet,46000000
Koto Ward,4.0,3LDK,70,2007.0,SRC,2016,Done,55000000
Koto Ward,11.0,3LDK,75,1997.0,RC,2016,Not yet,45000000
Koto Ward,11.0,3LDK,75,1997.0,RC,2016,Not yet,54000000
Koto Ward,9.0,3LDK,55,1980.0,SRC,2016,Done,40000000
Koto Ward,8.0,3LDK,75,2009.0,RC,2016,Not yet,64000000
Koto Ward,5.0,2LDK,60,2009.0,RC,2016,Not yet,59000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2016,Done,68000000
Koto Ward,5.0,2LDK,75,2009.0,RC,2016,Not yet,66000000
Koto Ward,7.0,3LDK,75,2008.0,RC,2016,Not yet,64000000
Koto Ward,5.0,1LDK,50,2009.0,RC,2016,Not yet,53000000
Koto Ward,4.0,3LDK,75,2001.0,SRC,2016,Not yet,47000000
Koto Ward,9.0,3LDK,70,2000.0,SRC,2016,Not yet,49000000
Koto Ward,4.0,3LDK,65,1981.0,SRC,2016,Not yet,33000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2016,Not yet,58000000
Koto Ward,7.0,1LDK,65,2008.0,RC,2016,Not yet,56000000
Koto Ward,7.0,3LDK,95,2008.0,RC,2016,Not yet,93000000
Koto Ward,5.0,1LDK,45,2009.0,RC,2016,Not yet,50000000
Koto Ward,6.0,3LDK,75,2005.0,SRC,2016,Not yet,63000000
Koto Ward,8.0,2LDK,65,2009.0,RC,2016,Not yet,61000000
Koto Ward,7.0,2LDK,70,2008.0,RC,2016,Done,73000000
Koto Ward,4.0,3LDK,65,2002.0,SRC,2016,Done,39000000
Koto Ward,7.0,2LDK,70,2007.0,RC,2016,Not yet,62000000
Koto Ward,5.0,2LDK,60,2005.0,SRC,2016,Not yet,42000000
Koto Ward,7.0,3LDK,70,2008.0,RC,2016,Not yet,62000000
Koto Ward,9.0,3LDK,70,2000.0,SRC,2016,Not yet,50000000
Koto Ward,3.0,3LDK,70,1999.0,SRC,2016,Done,45000000
Koto Ward,9.0,3LDK,65,1980.0,SRC,2016,Not yet,35000000
Koto Ward,8.0,3LDK,70,2014.0,RC,2016,Not yet,51000000
Koto Ward,8.0,2LDK,70,2009.0,RC,2016,Not yet,62000000
Koto Ward,7.0,3LDK,70,2007.0,RC,2016,Not yet,64000000
Koto Ward,8.0,3LDK,75,2009.0,RC,2016,Not yet,76000000
Koto Ward,8.0,2LDK,55,2009.0,RC,2016,Not yet,53000000
Koto Ward,8.0,2LDK,105,2009.0,RC,2016,Not yet,130000000
Koto Ward,7.0,2LDK,65,2008.0,RC,2016,Not yet,61000000
Koto Ward,7.0,2LDK,60,2008.0,RC,2016,Not yet,56000000
Koto Ward,7.0,3LDK,80,2008.0,RC,2016,Not yet,71000000
Koto Ward,11.0,1DK,55,2000.0,RC,2016,Done,40000000
Koto Ward,7.0,3LDK,75,2008.0,RC,2016,Not yet,69000000
Koto Ward,11.0,3LDK,85,2000.0,RC,2016,Not yet,55000000
